id,trigger,conditions,script,text,options,notes
aEP_researcher_stage1,MarketPostOpen,"$id == aEP_FSF_DefStation
$faction.id == aEP_FSF
$faction.AWM_2MetYang == false
$faction.AWM_1Complete == true
$faction.AWM_2Complete == false
aEP_AdvanceWeaponMission shouldStart2
",$faction.AWM_2MetYang = true,"As you approach the space station you are greeted with a message from within the company, ""Captain, I have a new job for you here, feel free to contact me if you are interested - you know my comms ID after all.""","0:aEP_researcher_stage0_GreetDecline:""Got it.""",
aEP_researcher_stage1_greeting_out,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_1Complete == true
$faction.AWM_2Complete == false

","ShowPersonVisual
","""It was a simple collaboration before and you have clearly proved yourself capable of engaging in a deeper level of cooperation, unfortunately I don't have an assignment for you at the moment.""",0:cutCommLink:Cut the comm link,
aEP_researcher_stage1_greeting_in,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_2MetYang == true
$faction.AWM_1Complete == true
$faction.AWM_2Talked == false
$faction.AWM_2Complete == false
aEP_AdvanceWeaponMission shouldStart2
","ShowPersonVisual
$faction.AWM_2Talked = true","After picking up the comms, you meet up in the commercial area of the open area of the station, $personName this time is not wearing the Institute's clothes, but the FSF uniform, looking more like a commanding officer of some sort belonging to the company. Like last time, $heOrShe leads you through the restricted area like nobody's business, but this time instead of going to the Institute, you go straight into the military area.

Eventually you stop at some sort of conference room, where a presentation seems to have been held earlier, with a central holographic projection of a ship you can't identify floating in the asteroid belt, presumably some sort of self-replicating unmanned probe ship from the rough structural finish and the painted Domain of Man pattern.

$personFirstName stands by and waits for you to finish examining the strange ship, then gestures and the holographic projection begins to play the aftermath. The drone ship stays silent while asteroids float around, and the moment a certain asteroid is about to hit the drone ship, it creates a shield.",0:aEP_researcher_stage1_talk01:Continue,
aEP_researcher_stage1_talk01,DialogOptionSelected,$option == aEP_researcher_stage1_talk01,,"$personFirstName looks at the tablet in $hisOrHer hand and says to you, ""This mission is urgent. The requirement is to destroy this particular Domain-era unmanned probe ship and bring back its shield core.""","0:aEP_researcher_stage1_talk02:""Looks like some kind of unmanned probe with shields installed, what's so unique about it that you can't handle it?""",
aEP_researcher_stage1_talk02,DialogOptionSelected,$option == aEP_researcher_stage1_talk02,,"As if $heOrShe knew this query would come up, $personFirstName flips the tablet over in his hand, displaying a battle report from one of the FSF fleets, explaining like you did, ""Three months ago a company-employed exploration fleet discovered this unique drone ship, the source of the hologram you just saw. The company then sent a medium sized combat fleet to recover the drone ship, and a firefight ensued.""

$heOrShe hands you the tablet and says: ""The results are on this report. After suffering light sized losses, the fleet commander judged that although he could have won the engagement, he would have caused a lot of unnecessary damage and so applied to command to have another, larger fleet deal with it - given the special nature of this ship, I felt you would be the best person to do so.""","0:aEP_researcher_stage1_talk03:""Why am I the best person for the job? I don't really understand.""
1:aEP_researcher_stage1_talk04:""Tell me about the characteristics of the target, I need more information.""",
aEP_researcher_stage1_talk03,DialogOptionSelected,$option == aEP_researcher_stage1_talk03,aEP_AdvanceWeaponMission show2,"$personFirstName stands across from you and laughs out loud, rushing to cover $hisOrHer mouth with $hisOrHer hand and says, ""I'm so sorry $playerName, it looks like you're a bit slower to the uptake than I thought."" Sensing that $personFirstName means no harm, you smile back to hide your embarrassment.

""Simple question, firstly this is a very special drone ship and our Institute wants its data very badly, it is equally important to keep it out of the hands of other powers. Secondly, a medium battle fleet followed immediately by a large battle fleet heading towards the same place will be the talk of the star field no matter what they bring back. That's why this would be a lot more trouble for the company to do than for you to do it - no one is going to be watching where independent captains are flying all day, and it's better to let this ship be a secret than provoke a troublesome scuffle over it.""",,
aEP_researcher_stage1_talk04,DialogOptionSelected,$option == aEP_researcher_stage1_talk04,aEP_AdvanceWeaponMission show2,"$personFirstName fiddles with the tablet a few times, pulls up a document, and hands it back to you while explaining, ""What makes this drone ship special is not just that it 'has' shields, installing shields on an unshielded ship is not that difficult, all it takes is an ai with faulty logic. what really caught our attention was its impossibly good shield efficiency. According to the description in the previous engagement report, the ship's shields only began to show instability after taking several times the damage of a conventional ship's shield absorption limit, and the fleet's technical officer judged that with the current firepower strength to overload its shields the fleet would suffer greater losses.""

Seeing your half-hearted look, $personFirstName doesn't show you any more information, but continues, ""Aside from the unreasonable shields, the rest of the ship, like its counterparts in the sector, can simply be called 'serviceable' - which means there are many ways you can take it apart.""",,
aEP_researcher_stage1_talk05,DialogOptionSelected,$option == aEP_researcher_stage1_talk05,aEP_HandInParts aEP_long_barrel_chaingunAP -2 none 0,"""I'll pay part of it in advance, but it's something that hasn't been put into mass production and the Company doesn't have a lot of it.""","0:aEP_researcher_stage1_AskAccept:""Thank you very much""",
aEP_researcher_stage1_AskAccept,DialogOptionSelected,$option == aEP_researcher_stage1_AskAccept,"ShowPersonVisual

","""Do you accept this mission?""","0:aEP_researcher_stage1_Accept:Accept
1:aEP_researcher_stage1_Decline:""I need to think about it.""
",
aEP_researcher_stage1_Accept,DialogOptionSelected,$option == aEP_researcher_stage1_Accept,"aEP_AdvanceWeaponMission start2
$faction.AWM_2Accepted = true","""Good luck, I wouldn't want the Company to lose such a promising partner.""",0:cutCommLink:Cut the comm link,
aEP_researcher_stage1_Decline,DialogOptionSelected,$option == aEP_researcher_stage1_Decline,,"""This mission is no child's play, you should think about it.""",0:cutCommLink:Cut the comm link,
,,,,,,
aEP_researcher_stage1_ReAsk,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_2Accepted == false
$faction.AWM_2Talked == true
$faction.AWM_2MetYang == true
$faction.AWM_2Complete == false","ShowPersonVisual
","""So, what do you think?""","0:aEP_researcher_stage1_Accept:Accept
1:aEP_researcher_stage1_Decline:""I need to think about it.""
",
aEP_researcher_stage1_ReAskAccepted,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_2Accepted == true
$faction.AWM_2Talked == true
$faction.AWM_2MetYang == true
$faction.AWM_2Complete == false
","ShowPersonVisual
","""Are you in trouble?""","0:cutCommLink:""I'm afraid you'll have to wait a few more days.""",
aEP_researcher_stage1_ReAskComplete,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_2Accepted == true
$faction.AWM_2Talked == true
$faction.AWM_2MetYang == true 
$faction.AWM_2Complete == false
aEP_AdvanceWeaponMission check2 SCORE:100

","ShowPersonVisual
$faction.AWM_2Complete = true
aEP_AdvanceWeaponMission complete2
aEP_HandInParts aEP_railway_gun -1 none 0","""We have received the shield generator you removed to pay... Once a very rewarding achievement for the Company, the only prototype that has been produced so far is this one, although it is now less valuable than this task you have completed. I hope this...somewhat unsuccessful candidate will be able to demonstrate its brilliance in your hands.""","0:cutCommLink:""Just this one? Quite a sincere payment.""",
,,,,,,
,,,,,,
aEP_researcher_stage2,MarketPostOpen,"$id == aEP_FSF_DefStation
$faction.id == aEP_FSF
$faction.AWM_3MetYang == false
$faction.AWM_2Complete == true
$faction.AWM_3Complete == false
aEP_AdvanceWeaponMission shouldStart3
",$faction.AWM_3MetYang = true,"随着你靠近空间站，你受到了一条熟悉的通讯请求，""紧急任务，速来""。从简短的内容上就能感到这次任务的重要性不一般","0:aEP_researcher_stage0_GreetDecline:""我知道了""",
aEP_researcher_stage2_greeting_out,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_2Complete == true
$faction.AWM_3Complete == false

","ShowPersonVisual
","""见到你真好，$playerName，最近没有需要你出动的地方，或许我们可以培养一下私人关系""","0:cutCommLink:""下次吧""",
aEP_researcher_stage2_greeting_in,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_3MetYang == true
$faction.AWM_2Complete == true
$faction.AWM_3Talked == false
$faction.AWM_3Complete == false
aEP_AdvanceWeaponMission shouldStart3
","ShowPersonVisual
$faction.AWM_3Talked = true","""你在这个时候到访真是帮了我大忙，我现在有一件非常紧急的事情需要你的能力，到限制区R024甲板吧，我会在那等你""",0:aEP_researcher_stage2_talk01:继续,
aEP_researcher_stage2_talk01,DialogOptionSelected,$option == aEP_researcher_stage2_talk01,,在你的穿梭机到底港口时，你透过舷窗看到$personFirstName站在人群中左右摆头寻找你飞船的样子。,"0:aEP_researcher_stage2_talk02:""这可真是少见，$personFirstName，看到你表现出不安""",
aEP_researcher_stage2_talk02,DialogOptionSelected,$option == aEP_researcher_stage2_talk02,,"$personFirstName意识到了自己的失态，但并没有多做调整就带着你向""先进武器计划""实验室的方向走去，沿途穿过你上次经过的办公区，到了$heOrShe的办公室。

在办公室的门关上后，$personFirstName已经把认真写在了脸上。""这次的事情非常严重""$heOrShe皱着眉头对你说， ""我们的一艘原型舰被人截走了""。","0:aEP_researcher_stage2_talk03:询问这件事的细节
",
aEP_researcher_stage2_talk03,DialogOptionSelected,$option == aEP_researcher_stage2_talk03,,"$heOrShe将一只手撑在桌面上，身体前倾向你解释了情况。$personFirstName委托商业中心的轨道工厂制造某艘""先进武器计划""项目组设计的舰船，在第一次边缘星系试航时完全失去联络，随后就收到了来自海盗的勒索讯息。

""我们有足够的情报表示试航舰队并非是单纯被海盗从外部劫持，而是有人在接触时黑入了旗舰的系统，向周围的舰队发出投降的命令，使得海盗轻松接管了整只舰队。"",说到这里$personFirstName停顿了一下,""这意味着我们的试航舰队中混入了内鬼，也意味着这群海盗现在有了一支军用级别的舰队。","0:aEP_researcher_stage2_talk04:""我能理解你为什么那么焦虑了""
",
aEP_researcher_stage2_talk04,DialogOptionSelected,$option == aEP_researcher_stage2_talk04,,"""这不是我焦虑的最主要原因，真正的大问题是这艘原型舰上面搭载的武器系统，那是一种超视距打击的巡航导弹，能在传感器探测到敌方舰队影像前就摧毁一只小型舰队，如果从我们手上战略级别的武器流入给了海盗，并且被他们用来攻击其他势力，我们的问题就大了，这是涉及到整个英仙座的外交问题，霸主也不会坐视不管...总之我希望你摧毁那支舰队，而那艘原型船，你可以自己留着或者交给我们，我相信你不会滥用它""","0:aEP_researcher_stage2_AskAccept:""看起来这事真的很严重""",
aEP_researcher_stage2_AskAccept,DialogOptionSelected,$option == aEP_researcher_stage2_AskAccept,"ShowPersonVisual

","""那么你接受这个任务吗""","0:aEP_researcher_stage2_Accept:接受
1:aEP_researcher_stage2_Decline:""我要思考一下""
",
aEP_researcher_stage2_Accept,DialogOptionSelected,$option == aEP_researcher_stage2_Accept,"aEP_AdvanceWeaponMission start3
$faction.AWM_3Accepted = true","""快速接近，然后速战速决，指挥官。我怀疑他们用你试验巡洋导弹的威力，远距离你会成为靶子的""",0:cutCommLink:切断通讯,
aEP_researcher_stage2_Decline,DialogOptionSelected,$option == aEP_researcher_stage2_Decline,,"""这个任务可不是儿戏，你应该好好思考一下""",0:cutCommLink:切断通讯,
,,,,,,
aEP_researcher_stage2_ReAsk,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_3Accepted == false
$faction.AWM_3Talked == true
$faction.AWM_3MetYang == true
$faction.AWM_3Complete == false","ShowPersonVisual
","""想的怎么样""","0:aEP_researcher_stage2_Accept:接受
1:aEP_researcher_stage2_Decline:""我要思考一下""
",
aEP_researcher_stage2_ReAskAccepted,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_3Accepted == true
$faction.AWM_3Talked == true
$faction.AWM_3MetYang == true
$faction.AWM_3Complete == false
","ShowPersonVisual
","""遇到困难了吗""","0:cutCommLink:""恐怕你要再等几天""",
aEP_researcher_stage2_ReAskComplete,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_3Accepted == true
$faction.AWM_3Talked == true
$faction.AWM_3MetYang == true 
$faction.AWM_3Complete == false
aEP_AdvanceWeaponMission check3 SCORE:100

","ShowPersonVisual
$faction.AWM_3Complete = true
aEP_AdvanceWeaponMission complete3
","""信息显示海盗舰队中这艘原型舰的信号已经消失，这件事多亏了你。虽然原型舰的数据还在，但如果你成功回收了那艘原型舰可以交还给我们，这会节约我们很多时间""","0:cutCommLink:""当然""",
aEP_researcher_stage2_ReAskHandIn,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_3Accepted == true
$faction.AWM_3Talked == true
$faction.AWM_3MetYang == true 
$faction.AWM_3Complete == true
$faction.AWM_3DidExchange == false
aEP_AdvanceWeaponMission shouldGive3

","ShowPersonVisual

","""你成功回收了这艘原型舰？很好，如果你愿意交给我们的话我可以给你一艘别的战舰做补偿""","0:aEP_researcher_stage2_ReAskHandInAccepted:接受
1:aEP_researcher_stage2_ReAskHandInDecline:""我要思考一下""
",
aEP_researcher_stage2_ReAskHandInAccepted,DialogOptionSelected,$option == aEP_researcher_stage2_ReAskHandInAccepted,"aEP_AdvanceWeaponMission give3
$faction.AWM_3DidExchange = true
","""感谢你的配合""","0:cutCommLink:""当然""",
aEP_researcher_stage2_ReAskHandInDecline,DialogOptionSelected,$option == aEP_researcher_stage2_ReAskHandInDecline,,"""没关系，留在你手上也无妨""","0:cutCommLink:""过段时间再说""",
,,,,,,
aEP_researcher_stage3,MarketPostOpen,"$id == aEP_FSF_DefStation
$faction.id == aEP_FSF
$faction.AWM_4MetYang == false
$faction.AWM_3Complete == true
$faction.AWM_4Complete == false
aEP_AdvanceWeaponMission shouldStart4
",$faction.AWM_4MetYang = true,"随着你靠近空间站，你受到了一条来自公司内部的讯息，""舰长，我这里有一份新的工作给你，感兴趣的话随时可以联系我——你知道我的通讯id""","0:aEP_researcher_stage0_GreetDecline:""我知道了""",
aEP_researcher_stage3_greeting_out,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_3Complete == true
$faction.AWM_4Complete == false
!aEP_AdvanceWeaponMission shouldStart4
","ShowPersonVisual
","""见到你真好，$playerName，最近没有需要你出动的地方，或许我们可以培养一下私人关系""","0:cutCommLink:""下次吧""",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
##  page manager,##,##,##,,,
aEP_PageManager_previous,DialogOptionSelected,$option == aEP_PageManager_previous,aEP_PageManager previous,,,
aEP_PageManager_next,DialogOptionSelected,$option == aEP_PageManager_next,aEP_PageManager next,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
