id,type,text1,text2,text3,notes
aEP_ShenCeng,SHIP,"The design is stretches the limit of what a typical missile destroyer is, featuring a large missile and flight deck in a light cruiser package, leaving the Deeplayer-Class with no room for weapons other than a few point defence slots. The most controversial aspect of the ship is that the massive hull is equipped with only destroyer-class subsystems, and there are many indications that this newly launched destroyer is some kind of generalised version of a more specialised vessel.",,,;
aEP_ShenCeng_mk2,SHIP,"A prototype of the Deeplayer-Class Heavy Missile Destroyer, a carrier designed to transport and launch cruiser missiles, carrying only the necessary point defence slots to combat environments - which explains why such a large hull is equipped with only destroyer-class subsystems, as it originally existed as a pure carrier.",,,;
aEP_YangJi,SHIP,"A warship stuffed with guns on both sides and a classic FSF export model, it has a good balance of firepower and manoeuvrability, with a built in AA system giving it an additional layer of survivability. As an export model, universality is the first design criterion, and the simple maintenance requirements and slightly larger tonnage than a normal destroyer make it exceptionally popular in the fringes of the Sector. Excellent in single-ship and skirmish situations, but the relatively standard subsystems limits the its overall potential.",,,;
aEP_LiAnLiu,SHIP,"The company's general purpose high-speed destroyer, with three back-mounted turrets on the centre line, provides this warship with a wide range of firepower options. Not only that, but the ship's level of protection has not been sacrificed too much, making it suitable for a wide range of cruising missions, always on the front line of the Company's conflicts, and a staple export model. Despite the limited dispersion, the tactical system allows for a good amount of firepower at short notice by dropping shields.",,,;
aEP_CengLiu,SHIP,"A heavy destroyer providing fire support. Fitting the weapon re-invigoration system to medium to large ships is a difficult process, as the larger the ship is the more pressure it puts on the buffer zone, thus requiring a significant portion of the core hull to be reinforced with bulkheads. This was all to boost the limited firepower boost; as such deploying a destroyer of this type required a fairly strict adherence to certain tactical regulations, rending it useless in untrained hands.",,,
aEP_YouJiYan,SHIP,"The Organic Salt series represents the Company's excellent armoured freighter/tanker options, fitted with armour that would make most destroyers ashamed of themselves, and a flight deck to deal with the threat of high speed targets, but maintaining and deploying it is no less expensive than a proper military destroyer. There is never a shortage of people willing to put a premium on their cargo in the Sector, but in this era passive defence can only a delaying tactic, thus its real value lies in being able to eliminate 'accidents'. Any precision strike will have little effect on it unless it can defeat an entire escort fleet head on.",,,;
aEP_YouJiYan_mk2,SHIP, "The Organic Salt series represents the Company's excellent armoured freighter/tanker options, fitted with armour that would make most destroyers ashamed of themselves, and a flight deck to deal with the threat of high speed targets, but maintaining and deploying it is no less expensive than a proper military destroyer. There is never a shortage of people willing to put a premium on their cargo in the Sector, but in this era passive defence can only a delaying tactic, thus its real value lies in being able to eliminate 'accidents'. Any precision strike will have little effect on it unless it can defeat an entire escort fleet head on.",,,;
aEP_decomposer,SHIP,"One of the FSF's newest ship developments following the Collapse, the Decomposer-Class carried a significant amount of fuel and supplies, along with an open deck and dismantling system. It was designed to serve the needs of long-range fleets without supplies by dismantling the surviving wreckage of ships on the battlefield to recover needed parts and various consumables. For armies with less than stellar logistical systems, having this type of ship greatly reduces the pressure on logistics and allows an elite fleet to sustain itself for a considerable period of time in the event of a supply failure.
When a ship is shut down in battle, if the hull does not break apart on the spot, a significant part of its interior can be recovered. Normally, it is not until the battle is won or lost that one side is given the authority to clean up the battlefield, by which time many of the items in the wreckage that need to be kept airtight have drifted out into space in a fragmented manner and cannot be recovered. The Decomposer-class, which can conduct its salvage operations even on the battlefield, has a large exposed operations deck with a hole in the middle leading to the inner deck, where its supporting drones have built-in disintegration beams that can precisely break the wreckage into appropriately sized pieces to be carried back to the operations deck for recovery of usable items. To cater for undisturbed operations, the Decomposer has enough firepower to repel smaller ships, making a jack-of-all-trades sufficient to form the core of a small fleet.
Although the armour and structure are of military grade material, the Decomposer sacrifices the space of the shield generator in favour of a built in fleet of shield drones to protect against damage in order to meet the demands of both cargo and disassembly operations.
",,,
,,,,,
aEP_HuanLiu,SHIP,"这种包裹在厚重装甲下的战舰旨在为公司的舰队提供航空支援，其设计是对莫拉级的一种延伸。与公司大部分重视性价的战舰不同，环流级在各个方面都相当豪华，更多的飞行甲板，更好的幅能，充足的装配点数，可以自由开关的充能装甲，其解决了莫拉级大部分防护力之外的问题，但作为代价这艘昂贵的巡洋舰几乎抵得上大半艘战列舰的消耗。",,,
aEP_decomposer_mk2,SHIP,这艘神秘的分解者改造型伴随着诡异的传说，据遭遇到它的战机驾驶员说，它就像黑洞一样无法逃脱。到底是如何将分解者改造到这个地步尚不清楚。,,,
aEP_FanChongLi,SHIP,"The FSF has developed a frigate equivalent to the Brawler-Class Gunship, with a greater emphasis on defensive capabilities. Although the manoeuvrability, like that of the Brawler, is in the lower middle of the frigate class, the better width, the better shield effect and the unique recoil cannon give the Repulsor class the ability to disengage at any time, designed not to gain an advantage in battle, but to buy time for its own forces  as possible. For a frigate of this medium to large size, the slot design of the Repulsor class was very constrained, meaning that a trade-off had to be made between firepower and defensive power.
The recoil cannon built into the hull of the Repulsor class frigate is a unique tactical system for this ship, similar in principle to the door-breaking cone torpedoes produced by FSF, using a gravitational field generator to camouflage the mass of the projectile, the difference being that this camouflage occurs prior to firing and the ship uses an ultra-high powered electromagnetic chemical hybrid launcher to fire the projectile, already camouflaged as a high mass object, to obtain an equal amount of reaction force to push the the ship backwards rapidly. The gravitational field of the fired shell works at a much higher power than that of a normal breaching cone torpedo and is quickly damaged after launch, although this gives the same strong thrust to the target before the gravitational field inside the shell is completely disabled by a shell hit at close range.
",,,
aEP_XiLiu,SHIP,"A frigate designed according to a rather old layout. The four-way slot is more of a deterrent than anything else, it is the most conventional of the FSF frigates, although it lacks all the striking features that make the Hiryu class famous for its cheap firepower through its quantity of weapons. By streamlining the number of weapons to improve quality, the captain's piloting skills are made more demanding while also significantly raising the ship's performance ceiling.",,,
aEP_XiLiu_p,SHIP,"The Finestream class has been substantially rebuilt, with a large number of slots removed or modified, and is now a competent raider with a dangerous torpedo-firing capability, greater manoeuvrability and a small number of cargo holds fitted to carry her master's 'loot'.",,,
aEP_RaoLiu,SHIP,"Designed as a scout, the frigate is known for its low price and survival rate that does not match its price. The Recoil class is a frigate that combines high speed with a damping shell, with most of the spaces on the hull suitable for weapons being taken up by armour and damping equipment, making its slot utilisation awkward and its lack of firepower and over-protection making it one of the least popular frigates for pirates in the star realm. For this reason, despite being positioned as a military ship, it has far more orders for civilian and training use.
",,,
,,,,,
aEP_CM,SHIP,"The S-1 Cruise Missile is a special missile that uses the hull of a frigate for long range flights, and when the warhead detonates the large amount of shrapnel built into it is melted into plasma and scattered around, heated to temperatures strong enough to melt most armour.",,,;
,,,,,
#武器说明,,,,,
,,,,,
#大实弹/能量,,,,,
aEP_large_kinetic_flak,WEAPON,"Originally designed as an planetary defence platform, it was fitted to warships after its flat-firing potential was discovered. The kinetic energy of the fragmentation created by an anti-air projectile of this calibre is sufficient to suppress the shields, but the continuous firing of large calibre ammunition places severe demands on the strength and precision of the material. Only a few ships in the galaxy can afford to expend such a fearsome weapon, and it is often used against phenomena that cannot be explained by classical physics.",,,;
aEP_large_long_barrel_chaingun,WEAPON,"With its longer range, greater power, double the rate of fire, better recoil absorption and excellent efficiency, the Combined Rotary Cannon is the perfect suppression weapon to deal a devastating blow to an opponent whose flux capacitor have reached capacity.",,,;
aEP_supress_needle_large,WEAPON,"This anti-shield weapon, which uses electromagnetic acceleration to fire light mass needles, like its medium-sized counterpart is limited by heat dissipation and must be fired in shifts, so even with four combined guns its firepower is still limited, but its near-perfect accuracy and velocity make it a strong competitor to the MK9.",,,;
,,,,,
,,,,,
,,,,,
#中实弹/能量,,,,,
aEP_kinetic_flak,WEAPON,"The company's standard weapon, a rapid-fire rotary cannon is capable of firing 12 large calibre shells in succession from two barrels. While capable of outputting conventional levels of sustained firepower, this can be increased when the magazine is filled.",,,
aEP_long_barrel_chaingun,WEAPON,"A weapon that fires small calibre anti-ship munitions continuously, the combination of accuracy and rapid fire poses a serious threat to most light armoured ships. Its threat to the hull increases if it can sustain a hit on the armour

In order to maintain range, the rifling pressure, barrel length and barrel wall thickness of the projectile were greatly increased, while the mass of the warhead was reduced. At the cost of this, the direct impact of the projectile was not worth much against the heavy armour, and too much powder gas was ejected from the muzzle of the gun to form a cloud of smoke when fired. Although the smoke did not affect the performance of the fire control system in any way, it left a mark on the hull, which was much criticised by clean-loving captains. In any case, the development of this weapon did pose a significant threat, although neither the user nor the victim liked it very much.",,,;
aEP_suppress_needle,WEAPON,"An easy to build and uncomplicated weapon, using electromagnetic acceleration to fire light mass needles with great accuracy and speed, but the need for heat dissipation from the magnetic rail system also limits the frequency of fire. A low cost weapon for ships, it has a place in practice for its high hit rate when shooting at long range targets, although its paper figures are far inferior to those of its rival.",,,;
aEP_trauma_cannon,WEAPON,"FSF公司开发的一款轻量化炼狱炮，采用一次性的储热罐吸收发射时的大量热量使其缩减了冷却系统的大小，能够以中槽位武器的大小，在不牺牲辐能利用效率的情况下发射破坏力远超普通装药弹的子弹。                                   
这款武器的原型，根据铭文推断大概是人之领时代某军团少量装备的实验性武器，或许是停留在数据收集阶段相当早期的产品，其性能相当平庸。推测是于大崩溃前就有少量原型流出，其独特的散热设计抓住了FSF开发者的眼球，研发出了此款武器",,,;
aEP_high_speed_HE,WEAPON,是一种使用集束弹药的狙击武器，用于在远距离消灭高速轻目标，以面杀伤弥补对目标高速运动的补偿问题。尽管做了诸多努力，榴霰弹本身的物理性质仍然阻止了有效射程的进一步提升,,,
aEP_EMP_pike,WEAPON,"一种使用电磁加速发射巨大钉矛的武器,其弹药外壳使用了特殊金属,硬度足以穿刺护盾和装甲,内部电容器周期性放电会干扰目标舰船运作.这样的弹药每一发都非常昂贵.",,,
,,,,,
,,,,,
,,,,,
,,,,,
#导弹,,,,,
aEP_breakin_hammer,WEAPON,"粗暴的造成大量动能伤害的反护盾鱼雷，破门锥是FSF公司最高技术力的体现，背后原理其实非常复杂，弹头中包含一组引力场发生器，通过某种程度上改变自己的重量使得弹头蕴含着远超其重量的动能，但这些精密的仪器在撞击装甲时会损坏。
破门锥使用颠覆物理学的引力场发生器，正常状态其质量使用常规推进系统可以加速到足够快，在得到足够速度后引力场激活伪装弹体的质量，尽管这使得安全距离比一般的鱼雷要长，但在成功命中敌方护盾时产生的动能冲击将是致命的。注意的是伪装仅仅是伪装，在外壳受到刚性冲击导致内部零件受损时，其效果会立刻消失。剩下的仅仅是作为大型鱼雷厚实的外壳造成的冲击。这种鱼雷本质上是一种妥协，使用真实质量如此大的鱼雷将没有任何小型推进系统能将其短时间加速。",,,
aEP_breakin_bay,WEAPON,配合弹舱使用的破门锥发射系统，量大，足够支撑长时间的战斗,,,;
aEP_hive_small,WEAPON,面向持久作战的小型发射架，可以说是简单的将发射舱一分为二，容量减半的同时火力减半，以匹配发射舱的发射频率,,,
aEP_hive_bay,WEAPON,一种因为鱼叉导弹过于脆弱而被开发出来的小当量密集发射导弹，牺牲了一定的速度和机动性换取比鱼叉更厚实的弹体。面对已经严重的受损装甲时不仅能快速撕开舰体，也能瘫痪附近的武器,,,
aEP_as_bay,WEAPON,一种暴力的重型反舰导弹，撞击造成动能伤害后引爆装药，向前方发射出高温射流。这样的工作原理若能一击过载护盾，并不会被护盾完全吸收，射流会继续破坏舰体,,,
aEP_as_large,WEAPON,恐怖的大当量反舰导弹，用于彻底摧毁敌方主力舰。工作原理和他的中型版本相同，但更加笨重的弹体限制了它的速度与转向能力。,,,
aEP_flux_tube,WEAPON,这件武器是“事物是螺旋发展”的体现之一，早就脱离了需要自带散热剂时代的舰船，为了获得更好的幅散又捡起了这种直接通过物质载体进行排放的手段。形式上返璞归真但是实现起来比热能的处理麻烦的多，每一颗幅容管都是简化过的舰船幅容寄存器，而原来导弹槽供弹，瞄准等系统的空间则被改造用来从舰体导入幅能，也因为这个原因，其发射前需要一段时间的准备。,,,
aEP_harpoon_large,WEAPON,一种重型联装反护盾导弹，庞大的弹体中配备了大推力引擎，能以高质量高速度撞击目标，对中等程度装甲也造成威胁。会以高初速发射，且引擎全程加速，安装在舰船侧面可以划出弧线绕过目标的正面点防御,,,
aEP_CM_weapon,WEAPON,S-1型巡洋导弹是一种使用护卫舰舰体进行长距离飞行的特殊导弹，弹头引爆后内置的大量弹片被融化为等离子体向周围散射，高温足以熔化大部分装甲。,,,;
,,,,,
#小实弹/能量,,,,,
aEP_small_kinetic_beam,WEAPON,小型轻量化的冲击光束，低消耗，低装配，低伤害，但小槽足够的话能引起质变。,,,
aEP_forcus_laser,WEAPON,能缓慢熔化装甲的微波聚集器是公司小型舰船上常见的武器。虽然能量密度远不能和更先进的爆发性光束武器相比，但发射能量的总量极高。只要给与时间，就能如温水煮青蛙般将敌人的舰船煮熟,,,
aEP_pompom_small,WEAPON,这种低消耗的点防御武器以时常客串反舰武器而闻名，联装的中口径机炮能发射常规高爆装药而非靠破片杀伤，同时也将武器的射程推到反舰武器的级别,,,
aEP_vulcan,WEAPON,一种转管近防炮，能精准的将子弹打进同一个弹孔，但做出了牺牲的子弹威力和持续火力使之不善于迎击战机或是饱和攻击型导弹。,,,
,,,,,
,,,,,
#欧米茄武器,,,,,
